YYYYMMDD,19760923
YYYY/MM/DD,1976/09/23
YYYY-MM-DD,1976-09-23
YYYYDDMM,19762309
YYYY/DD/MM,1976/23/09
YYYY-DD-MM,1976-23-09
MMYYYYDD,09197623
MM/YYYY/DD,09/1976/23
MM-YYYY-DD,09-1976-23
MMDDYYYY,09231976
MM/DD/YYYY,09/23/1976
MM-DD-YYYY,09-23-1976
DDYYYYMM,23197609
DD/YYYY/MM,23/1976/09
DD-YYYY-MM,23-1976-09
DDMMYYYY,23091976
DD/MM/YYYY,23/09/1976
DD-MM-YYYY,23-09-1976
YYYYDDD,1976267
YYYY/DDD,1976/267
YYYY-DDD,1976-267
DDDYYYY,2671976
DDD/YYYY,267/1976
DDD-YYYY,267-1976
YYYYMMDDThhZ,19760923T11Z
YYYYMMDDThh+hh:mm,19760923T11+11:11
YYYYMMDDThh+hhmm,19760923T11+1111
YYYYMMDDThh+hh,19760923T11+11
YYYYMMDDThh-hh:mm,19760923T11-11:11
YYYYMMDDThh-hhmm,19760923T11-1111
YYYYMMDDThh-hh,19760923T11-11
YYYYMMDD hhZ,19760923 11Z
YYYYMMDD hh+hh:mm,19760923 11+11:11
YYYYMMDD hh+hhmm,19760923 11+1111
YYYYMMDD hh+hh,19760923 11+11
YYYYMMDD hh-hh:mm,19760923 11-11:11
YYYYMMDD hh-hhmm,19760923 11-1111
YYYYMMDD hh-hh,19760923 11-11
YYYYMMDDThhmmZ,19760923T1111Z
YYYYMMDDThhmm+hh:mm,19760923T1111+11:11
YYYYMMDDThhmm+hhmm,19760923T1111+1111
YYYYMMDDThhmm+hh,19760923T1111+11
YYYYMMDDThhmm-hh:mm,19760923T1111-11:11
YYYYMMDDThhmm-hhmm,19760923T1111-1111
YYYYMMDDThhmm-hh,19760923T1111-11
YYYYMMDD hhmmZ,19760923 1111Z
YYYYMMDD hhmm+hh:mm,19760923 1111+11:11
YYYYMMDD hhmm+hhmm,19760923 1111+1111
YYYYMMDD hhmm+hh,19760923 1111+11
YYYYMMDD hhmm-hh:mm,19760923 1111-11:11
YYYYMMDD hhmm-hhmm,19760923 1111-1111
YYYYMMDD hhmm-hh,19760923 1111-11
YYYYMMDDThhmmssZ,19760923T111111Z
YYYYMMDDThhmmss+hh:mm,19760923T111111+11:11
YYYYMMDDThhmmss+hhmm,19760923T111111+1111
YYYYMMDDThhmmss+hh,19760923T111111+11
YYYYMMDDThhmmss-hh:mm,19760923T111111-11:11
YYYYMMDDThhmmss-hhmm,19760923T111111-1111
YYYYMMDDThhmmss-hh,19760923T111111-11
YYYYMMDD hhmmssZ,19760923 111111Z
YYYYMMDD hhmmss+hh:mm,19760923 111111+11:11
YYYYMMDD hhmmss+hhmm,19760923 111111+1111
YYYYMMDD hhmmss+hh,19760923 111111+11
YYYYMMDD hhmmss-hh:mm,19760923 111111-11:11
YYYYMMDD hhmmss-hhmm,19760923 111111-1111
YYYYMMDD hhmmss-hh,19760923 111111-11
YYYYMMDDThhmmss.sssZ,19760923T111111.888Z
YYYYMMDDThhmmss.sss+hh:mm,19760923T111111.888+11:11
YYYYMMDDThhmmss.sss+hhmm,19760923T111111.888+1111
YYYYMMDDThhmmss.sss+hh,19760923T111111.888+11
YYYYMMDDThhmmss.sss-hh:mm,19760923T111111.888-11:11
YYYYMMDDThhmmss.sss-hhmm,19760923T111111.888-1111
YYYYMMDDThhmmss.sss-hh,19760923T111111.888-11
YYYYMMDD hhmmss.sssZ,19760923 111111.888Z
YYYYMMDD hhmmss.sss+hh:mm,19760923 111111.888+11:11
YYYYMMDD hhmmss.sss+hhmm,19760923 111111.888+1111
YYYYMMDD hhmmss.sss+hh,19760923 111111.888+11
YYYYMMDD hhmmss.sss-hh:mm,19760923 111111.888-11:11
YYYYMMDD hhmmss.sss-hhmm,19760923 111111.888-1111
YYYYMMDD hhmmss.sss-hh,19760923 111111.888-11
YYYYMMDDThh:mmZ,19760923T11:11Z
YYYYMMDDThh:mm+hh:mm,19760923T11:11+11:11
YYYYMMDDThh:mm+hhmm,19760923T11:11+1111
