sticky row	identifier_PK	name	date added	update date	priority	justification	implemented	system	qualityType	statusType	description	level	EML path	expected	found	explanation	suggestion	reference	example failure	failure notes	example success	
2	emlVersion	EML version 2.1.0 or beyond		1/31/2012	1	PASTA	Yes	LTER	metadata	error	Check the EML document declaration for version 2.1.0 or higher	dataset	eml:eml/@xmlns:eml	eml://ecoinformatics.org/eml-2.1.0, eml://ecoinformatics.org/eml-2.1.1	some other string	validity of this quality report is dependent on this check being valid	use approved namespace	BP? p _____				
3	schemaValid	Document is schema valid EML		3/28/2012	1	workflow	Yes	KNB	metadata	error	Check document schema validity 	dataset	eml:eml	schema-valid	not valid	validity of this quality report is dependent on this check being valid	Make this doc valid.	LTER best practices for data package construction (does not yet exist)				
4	parserValid	Document is EML parser valid		3/28/2012	1	workflow	Yes	KNB	metadata	error	Validates with the EML IDs and references parser	dataset	eml:eml	Validates with the EML IDs and references parser	not valid	validity of this quality report is dependent on this check being valid	Resolve issues with IDs and references					
5	onlineURLs	Online URLs are live		1/17/2012	1	workflow	Yes	KNB	congruency	error	check that URLs return something	entity	*/onlilne/url	no 404s (any other bad responses?)	404		fix broken URLs	BP?	knb-lter-mcr.1.15	the data URLs redirect the user to a form before returning the data entity.		
6	duplicateEntityName	There are no duplicate entity names		1/31/2012	1	workflow	Yes	LTER	metadata	error	checks that content is not duplicated by other entityName elements in the document.	dataset	dataTable/entityName; spatialRaster/entityName; spatialVector/entityName; storedProcedure/entityName; view/entityName; otherEntity/entityName	(1) entityName is not an empty string; (2) entityName is not a duplicate within the document	 (2) entityName is a duplicate value of some other entityName in the document. Note: this is valid in all versions of EML 2.1	Data Manager requires a non-empty non-duplicate entityName value for every entity.	Declare a non-empty entityName and ensure that there are no duplicate entityName values in the document.					
7	numFooterLinesPresent	check to see if numFooterLines element is present		7/11/2013	2	workflow	Yes	KNB	metadata	info	Check for presence of the 'numFooterLines' element	entity	physical/dataFormat/*/numFooterLines	Document contains 'numFooterLines' element.	No 'numFooterLines' element found	If data file contains footer lines, 'numFooterLines' must be specified.	Add 'numFooterLines' element if needed.	http://knb.ecoinformatics.org/software/eml/eml-2.1.0/eml-physical.html#numFooterLines				
8	numHeaderLinesPresent	check to see if numHeaderLines element is present		7/11/2013	2	workflow	Yes	KNB	metadata	info	Check for presence of the 'numHeaderLines' element	entity	physical/dataFormat/*/numHeaderLines	Document contains 'numHeaderLines' element.	No 'numHeaderLines' element found	If data file contains header lines, 'numHeaderLines' must be specified.	Add 'numHeaderLines' element if needed.	http://knb.ecoinformatics.org/software/eml/eml-2.1.0/eml-physical.html#numHeaderLines				
9	numberOfRecords	Number of records in metadata matches number of rows loaded		1/26/2012	3	good practice	Yes	KNB	congruency	warn	compare number of records specified in metadata to number of records found in data	entity	optional: dataTable/numberOfRecords; required: physical/*/recordDelimiter; optional: dataTable/numHeaderLines; optional: dataTable/numFooterLines	number of records successfully loaded = numberOfRecords value in the EML 	see sheet "number of records check" 	description now handles all combinations of data and metadata.	number of records loaded should be > 0.	http://knb.ecoinformatics.org/software/eml/eml-2.1.0/eml-dataTable.html#numberOfRecords	see sheet "number of records check"	see sheet "number of records check"		
10	identifyDataURL	Identify data URL		1/17/2012	deprecate			KNB	congruency XX	error XX	figure out which URL in the metdata is supposed to deliver data entity.	entity	dataTable/physical/distribution/online/url	one URL  to data!	two different urls	checker does not know which url to use	remove one url	BP has specified which location is preferred for data URL: /eml:eml/dataset/dataTable/physical/distribution/online				
11	dataLoadStatus	Data can be loaded into the database		3/21/2012	1	workflow	Yes	KNB	congruency	warn	Case (1) Report when a data table loads into the database successfully. Case (2) Report any problems that occurred while loading the data table into a relational database. (3) Report that no attempt was made to load the data entity into a database.	entity	Varies	Case (1) Data loaded successfully or Case (3) no attempt was made to load the data.	Case (2) An error occurred while the data table was being loaded into a database	Case (2) Use the error message (for example, the message from a SQLException) as the explanation for the error. Also include the SQL insert statement that resulted in the error.		http://knb.ecoinformatics.org/software/eml/eml-2.1.0/eml-physical.html#dataFormat	Position: 76	We have observed that many failures are caused by incompatibilities between EML datetime formats and what Postgres will accept as a timestamp. This is an implementation issue that we need to work on.		
